pert_id,Carcinogenicity
Chem1000_0,-
Chem1000_1,-
Chem1000_2,-
Chem1001_0,-
Chem1001_1,-
Chem1001_10,-
Chem1001_11,-
Chem1001_12,-
Chem1001_13,-
Chem1001_14,-
Chem1001_15,-
Chem1001_16,-
Chem1001_17,-
Chem1001_18,-
Chem1001_19,-
Chem1001_2,-
Chem1001_20,-
Chem1001_21,-
Chem1001_22,-
Chem1001_23,-
Chem1001_24,-
Chem1001_25,-
Chem1001_26,-
Chem1001_27,-
Chem1001_28,-
Chem1001_29,-
Chem1001_3,-
Chem1001_30,-
Chem1001_31,-
Chem1001_32,-
Chem1001_33,-
Chem1001_34,-
Chem1001_35,-
Chem1001_36,-
Chem1001_37,-
Chem1001_38,-
Chem1001_39,-
Chem1001_4,-
Chem1001_40,-
Chem1001_41,-
Chem1001_42,-
Chem1001_43,-
Chem1001_5,-
Chem1001_6,-
Chem1001_7,-
Chem1001_8,-
Chem1001_9,-
Chem1002_0,-
Chem1002_1,-
Chem1002_2,-
Chem1002_3,-
Chem1002_4,-
Chem1002_5,-
Chem1002_6,-
Chem1002_7,-
Chem1002_8,-
Chem1003_0,-
Chem1003_1,-
Chem1003_10,-
Chem1003_11,-
Chem1003_12,-
Chem1003_13,-
Chem1003_14,-
Chem1003_15,-
Chem1003_16,-
Chem1003_17,-
Chem1003_18,-
Chem1003_19,-
Chem1003_2,-
Chem1003_20,-
Chem1003_21,-
Chem1003_22,-
Chem1003_23,-
Chem1003_24,-
Chem1003_25,-
Chem1003_26,-
Chem1003_27,-
Chem1003_28,-
Chem1003_29,-
Chem1003_3,-
Chem1003_30,-
Chem1003_31,-
Chem1003_32,-
Chem1003_33,-
Chem1003_34,-
Chem1003_35,-
Chem1003_36,-
Chem1003_37,-
Chem1003_38,-
Chem1003_39,-
Chem1003_4,-
Chem1003_40,-
Chem1003_41,-
Chem1003_42,-
Chem1003_43,-
Chem1003_44,-
Chem1003_45,-
Chem1003_46,-
Chem1003_47,-
Chem1003_48,-
Chem1003_49,-
Chem1003_5,-
Chem1003_50,-
Chem1003_51,-
Chem1003_52,-
Chem1003_53,-
Chem1003_54,-
Chem1003_55,-
Chem1003_56,-
Chem1003_57,-
Chem1003_58,-
Chem1003_6,-
Chem1003_7,-
Chem1003_8,-
Chem1003_9,-
Chem100_0,-
Chem100_1,-
Chem100_10,-
Chem100_11,-
Chem100_12,-
Chem100_13,-
Chem100_2,-
Chem100_3,-
Chem100_4,-
Chem100_5,-
Chem100_6,-
Chem100_7,-
Chem100_8,-
Chem100_9,-
Chem101_0,-
Chem101_1,-
Chem101_2,-
Chem101_3,-
Chem101_4,-
Chem101_5,-
Chem101_6,-
Chem101_7,-
Chem101_8,-
Chem102_0,-
Chem102_1,-
Chem102_10,-
Chem102_11,-
Chem102_12,-
Chem102_13,-
Chem102_14,-
Chem102_15,-
Chem102_2,-
Chem102_3,-
Chem102_4,-
Chem102_5,-
Chem102_6,-
Chem102_7,-
Chem102_8,-
Chem102_9,-
Chem103_0,-
Chem103_1,-
Chem103_2,-
Chem103_3,-
Chem103_4,-
Chem103_5,-
Chem103_6,-
Chem103_7,-
Chem103_8,-
Chem104_0,-
Chem104_1,-
Chem104_10,-
Chem104_2,-
Chem104_3,-
Chem104_4,-
Chem104_5,-
Chem104_6,-
Chem104_7,-
Chem104_8,-
Chem104_9,-
Chem105_0,-
Chem105_1,-
Chem105_2,-
Chem105_3,-
Chem105_4,-
Chem105_5,-
Chem105_6,-
Chem105_7,-
Chem106_0,-
Chem106_1,-
Chem106_2,-
Chem106_3,-
Chem106_4,-
Chem106_5,-
Chem106_6,-
Chem106_7,-
Chem107_0,-
Chem107_1,-
Chem107_10,-
Chem107_11,-
Chem107_12,-
Chem107_13,-
Chem107_14,-
Chem107_2,-
Chem107_3,-
Chem107_4,-
Chem107_5,-
Chem107_6,-
Chem107_7,-
Chem107_8,-
Chem107_9,-
Chem108_0,-
Chem108_1,-
Chem108_2,-
Chem108_3,-
Chem108_4,-
Chem108_5,-
Chem108_6,-
Chem108_7,-
Chem108_8,-
Chem108_9,-
Chem109_0,-
Chem109_1,-
Chem109_2,-
Chem109_3,-
Chem109_4,-
Chem109_5,-
Chem109_6,-
Chem109_7,-
Chem109_8,-
Chem109_9,-
Chem10_0,-
Chem10_1,-
Chem10_10,-
Chem10_11,-
Chem10_12,-
Chem10_13,-
Chem10_2,-
Chem10_3,-
Chem10_4,-
Chem10_5,-
Chem10_6,-
Chem10_7,-
Chem10_8,-
Chem10_9,-
Chem110_0,+
Chem110_1,+
Chem110_10,+
Chem110_11,+
Chem110_12,+
Chem110_13,+
Chem110_14,+
Chem110_15,+
Chem110_16,+
Chem110_2,+
Chem110_3,+
Chem110_4,+
Chem110_5,+
Chem110_6,+
Chem110_7,+
Chem110_8,+
Chem110_9,+
Chem111_0,-
Chem111_1,-
Chem111_10,-
Chem111_11,-
Chem111_12,-
Chem111_2,-
Chem111_3,-
Chem111_4,-
Chem111_5,-
Chem111_6,-
Chem111_7,-
Chem111_8,-
Chem111_9,-
Chem112_0,-
Chem112_1,-
Chem112_2,-
Chem112_3,-
Chem112_4,-
Chem112_5,-
Chem112_6,-
Chem112_7,-
Chem112_8,-
Chem113_0,+
Chem113_1,+
Chem113_10,+
Chem113_11,+
Chem113_12,+
Chem113_13,+
Chem113_14,+
Chem113_2,+
Chem113_3,+
Chem113_4,+
Chem113_5,+
Chem113_6,+
Chem113_7,+
Chem113_8,+
Chem113_9,+
Chem114_0,-
Chem114_1,-
Chem114_10,-
Chem114_11,-
Chem114_12,-
Chem114_13,-
Chem114_14,-
Chem114_15,-
Chem114_16,-
Chem114_17,-
Chem114_18,-
Chem114_19,-
Chem114_2,-
Chem114_20,-
Chem114_21,-
Chem114_22,-
Chem114_23,-
Chem114_3,-
Chem114_4,-
Chem114_5,-
Chem114_6,-
Chem114_7,-
Chem114_8,-
Chem114_9,-
Chem115_0,+
Chem115_1,+
Chem115_10,+
Chem115_11,+
Chem115_12,+
Chem115_13,+
Chem115_14,+
Chem115_15,+
Chem115_16,+
Chem115_17,+
Chem115_18,+
Chem115_19,+
Chem115_2,+
Chem115_20,+
Chem115_21,+
Chem115_22,+
Chem115_23,+
Chem115_24,+
Chem115_3,+
Chem115_4,+
Chem115_5,+
Chem115_6,+
Chem115_7,+
Chem115_8,+
Chem115_9,+
Chem116_0,-
Chem116_1,-
Chem116_10,-
Chem116_11,-
Chem116_12,-
Chem116_13,-
Chem116_14,-
Chem116_15,-
Chem116_16,-
Chem116_17,-
Chem116_18,-
Chem116_19,-
Chem116_2,-
Chem116_20,-
Chem116_21,-
Chem116_3,-
Chem116_4,-
Chem116_5,-
Chem116_6,-
Chem116_7,-
Chem116_8,-
Chem116_9,-
Chem117_0,-
Chem117_1,-
Chem117_2,-
Chem117_3,-
Chem117_4,-
Chem117_5,-
Chem117_6,-
Chem117_7,-
Chem117_8,-
Chem118_0,-
Chem118_1,-
Chem118_10,-
Chem118_11,-
Chem118_12,-
Chem118_13,-
Chem118_14,-
Chem118_15,-
Chem118_16,-
Chem118_2,-
Chem118_3,-
Chem118_4,-
Chem118_5,-
Chem118_6,-
Chem118_7,-
Chem118_8,-
Chem118_9,-
Chem119_0,-
Chem119_1,-
Chem119_10,-
Chem119_11,-
Chem119_12,-
Chem119_13,-
Chem119_14,-
Chem119_15,-
Chem119_16,-
Chem119_17,-
Chem119_18,-
Chem119_19,-
Chem119_2,-
Chem119_20,-
Chem119_21,-
Chem119_22,-
Chem119_23,-
Chem119_24,-
Chem119_25,-
Chem119_26,-
Chem119_27,-
Chem119_28,-
Chem119_29,-
Chem119_3,-
Chem119_30,-
Chem119_31,-
Chem119_32,-
Chem119_33,-
Chem119_34,-
Chem119_35,-
Chem119_36,-
Chem119_37,-
Chem119_38,-
Chem119_39,-
Chem119_4,-
Chem119_40,-
Chem119_41,-
Chem119_42,-
Chem119_43,-
Chem119_44,-
Chem119_45,-
Chem119_46,-
Chem119_47,-
Chem119_48,-
Chem119_49,-
Chem119_5,-
Chem119_50,-
Chem119_6,-
Chem119_7,-
Chem119_8,-
Chem119_9,-
Chem11_0,-
Chem11_1,-
Chem11_2,-
Chem11_3,-
Chem11_4,-
Chem11_5,-
Chem11_6,-
Chem11_7,-
Chem11_8,-
Chem11_9,-
Chem120_0,+
Chem120_1,+
Chem120_10,+
Chem120_11,+
Chem120_12,+
Chem120_13,+
Chem120_14,+
Chem120_15,+
Chem120_16,+
Chem120_17,+
Chem120_18,+
Chem120_19,+
Chem120_2,+
Chem120_20,+
Chem120_21,+
Chem120_22,+
Chem120_23,+
Chem120_24,+
Chem120_25,+
Chem120_26,+
Chem120_27,+
Chem120_28,+
Chem120_29,+
Chem120_3,+
Chem120_30,+
Chem120_31,+
