CASRN,Chemical Name,SMILES,human,rat,Carcinogenicity
75-07-0,Acetaldehyde,CC=O,2B,,+
60-35-5,Acetamide,CC(=O)N,2B,,+
75-05-8,Acetonitrile,CC#N,D,,+
98-86-2,Acetophenone,CC(=O)C1=CC=CC=C1,D,,+
62-53-3,Aniline,C1=CC=C(C=C1)N,2A,+,+
90-04-0,o-Anisidine,COC1=CC=CC=C1N,2B,+,+
98-07-7,Benzotrichloride,C1=CC=C(C=C1)C(Cl)(Cl)Cl,2A,+,+
542-88-1,Bis(chloromethyl)ether,C(OCCl)Cl,A,+,+
75-25-2,Bromoform,C(Br)(Br)Br,3,+,+
106-94-5,1-Bromopropane,CCCBr,2B,+,+
75-15-0,Carbon disulfide,C(=S)=S,4,,+
56-23-5,Carbon tetrachloride,C(Cl)(Cl)(Cl)Cl,2B,+,+
463-58-1,Carbonyl sulfide,C(=O)=S,,,+
57-74-9,Chlordane,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,2B,+,+
79-11-8,Chloroacetic acid,C(C(=O)O)Cl,4,,+
67-66-3,Chloroform,C(Cl)(Cl)Cl,2B,+,+
107-30-2,Chloromethyl methyl ether,COCCl,1,+,+
126-99-8,Chloroprene,C=CC(=C)Cl,2B,+,+
1319-77-3,Cresols/Cresylic acid,CC1=CC=C(C=C1)O,C,,+
95-48-7,o-Cresol,CC1=CC=CC=C1O,C,,+
108-39-4,m-Cresol,CC1=CC(=CC=C1)O,C,,+
106-44-5,p-Cresol,CC1=CC=C(C=C1)O,C,,+
98-82-8,Cumene,CC(C)C1=CC=CC=C1,2B,+,+
3547-04-4,DDE,CC(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl,,,+
334-88-3,Diazomethane,C=[N+]=[N-],3,,+
132-64-9,Dibenzofurans,C1=CC=C2C(=C1)C3=CC=CC=C3O2,D,,+
84-74-2,Dibutylphthalate,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,D,,+
542-75-6,"1,3-Dichloropropene",C(C=CCl)Cl,2B,+,+
119-90-4,"3,3-Dimethoxybenzidine",COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N,2B,+,+
119-93-7,"3,3'-Dimethyl benzidine",CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N,2B,+,+
79-44-7,Dimethyl carbamoyl chloride,CN(C)C(=O)Cl,2A,+,+
57-14-7,"1,1-Dimethyl hydrazine",CN(C)N,2B,+,+
131-11-3,Dimethyl phthalate,COC(=O)C1=CC=CC=C1C(=O)OC,D,,+
77-78-1,Dimethyl sulfate,COS(=O)(=O)OC,2A,+,+
534-52-1,"4,6-Dinitro-o-cresol, and salts",CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],,,+
51-28-5,"2,4-Dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,,,+
121-14-2,"2,4-Dinitrotoluene",CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],2B,+,+
75-00-3,Ethyl chloride,CCCl,3,+,+
106-93-4,Ethylene dibromide,C(CBr)Br,2A,+,+
107-06-2,Ethylene dichloride,C(CCl)Cl,2B,+,+
107-21-1,Ethylene glycol,C(CO)O,D,,+
151-56-4,Ethylene imine,C1CN1,2B,+,+
75-21-8,Ethylene oxide,C1CO1,1,+,+
75-34-3,Ethylidene dichloride,CC(Cl)Cl,,+,+
50-00-0,Formaldehyde,C=O,,,+
