pert_id,Carcinogenicity
Chem671,+
Chem208,+
Chem657,+
Chem528,+
Chem164,+
Chem34,+
Chem230,+
Chem582,+
Chem696,+
Chem569,+
Chem194,+
Chem629,+
Chem592,+
Chem338,+
Chem612,+
Chem473,+
Chem995,+
Chem623,+
Chem68,+
Chem218,+
Chem701,+
Chem838,+
Chem87,+
Chem643,+
Chem41,+
Chem541,+
Chem775,+
Chem450,+
Chem748,+
Chem999,+
Chem760,+
Chem763,+
Chem229,+
Chem769,+
Chem439,+
Chem972,+
Chem88,+
Chem378,+
Chem238,+
Chem161,+
Chem3,+
Chem329,+
Chem978,+
Chem927,+
Chem220,+
Chem882,+
Chem509,+
Chem790,+
Chem23,+
Chem656,+
Chem326,+
Chem700,+
Chem616,+
Chem835,+
Chem477,+
Chem975,+
Chem859,+
Chem21,+
Chem770,+
Chem595,+
Chem247,+
Chem133,+
Chem942,+
Chem645,+
Chem798,+
Chem994,+
Chem634,+
Chem290,+
Chem617,+
Chem684,+
Chem824,+
Chem820,+
Chem650,+
Chem110,+
Chem565,+
Chem703,+
Chem309,+
Chem719,+
Chem705,+
Chem115,+
Chem572,+
Chem123,+
Chem453,+
Chem813,+
Chem465,+
Chem151,+
Chem652,+
Chem15,+
Chem788,+
Chem491,+
Chem413,+
Chem615,+
Chem327,+
Chem16,+
Chem537,+
Chem18,+
Chem863,+
Chem842,+
Chem499,+
Chem455,+
Chem704,+
Chem514,+
Chem92,+
Chem532,+
Chem474,+
Chem122,+
Chem391,+
Chem740,+
Chem787,+
Chem871,+
Chem296,+
Chem113,+
Chem939,+
Chem434,+
Chem520,+
Chem881,+
Chem481,+
Chem97,+
Chem156,+
Chem46,+
Chem431,+
Chem6,+
Chem823,+
Chem384,+
Chem8,+
Chem301,+
Chem544,+
Chem293,+
Chem425,+
Chem257,+
Chem42,+
Chem143,+
Chem40,+
Chem411,+
Chem33,+
Chem974,+
Chem603,+
Chem131,+
Chem686,+
Chem171,+
Chem687,+
Chem376,+
Chem893,+
Chem339,+
Chem963,+
Chem697,+
Chem417,+
Chem593,+
Chem503,+
Chem96,+
Chem659,+
Chem660,+
Chem356,+
Chem228,+
Chem637,+
Chem129,+
Chem834,+
Chem915,+
Chem857,+
Chem192,+
Chem635,+
Chem201,+
Chem614,+
Chem902,+
Chem677,+
Chem584,+
Chem38,+
Chem310,+
Chem336,+
Chem320,+
Chem954,+
Chem542,+
Chem658,+
Chem137,+
Chem632,+
Chem716,+
Chem300,+
Chem219,+
Chem732,+
Chem4,+
Chem928,+
Chem37,+
Chem314,+
Chem533,+
Chem52,+
Chem239,+
Chem490,+
Chem221,+
Chem554,+
Chem633,+
Chem385,+
Chem840,+
Chem241,+
Chem372,+
Chem802,+
Chem250,+
Chem649,+
Chem235,+
Chem692,+
Chem855,+
Chem294,+
Chem416,+
Chem402,+
Chem936,+
Chem539,+
Chem778,+
Chem720,+
Chem492,+
Chem287,+
Chem945,+
Chem342,+
Chem65,+
Chem86,+
Chem209,+
Chem126,+
Chem370,+
Chem435,+
Chem471,+
Chem153,+
Chem66,+
Chem761,+
Chem51,+
Chem908,+
Chem869,+
Chem48,+
Chem819,+
Chem664,+
Chem674,+
Chem298,+
Chem464,+
Chem222,+
Chem679,+
Chem675,+
Chem680,+
Chem467,+
Chem415,+
Chem466,+
Chem446,+
Chem44,+
Chem468,+
Chem479,+
Chem270,+
Chem234,+
Chem365,+
Chem812,+
Chem77,+
Chem688,+
Chem168,+
Chem636,+
Chem32,+
Chem598,+
Chem984,+
Chem488,+
Chem341,+
Chem175,+
Chem996,+
Chem938,+
Chem319,+
Chem324,+
Chem35,+
Chem668,+
Chem299,+
Chem510,+
Chem689,+
Chem646,+
Chem536,+
Chem724,+
Chem39,+
Chem613,+
Chem567,+
Chem484,+
Chem722,+
Chem5,+
Chem678,+
Chem587,+
Chem165,+
Chem712,+
Chem611,+
Chem849,+
Chem404,+
Chem875,+
Chem631,+
Chem711,+
Chem186,+
Chem561,+
Chem67,+
Chem955,+
Chem79,+
Chem457,+
Chem754,+
Chem803,+
Chem259,+
Chem128,+
Chem844,+
Chem43,+
Chem82,+
Chem1,+
Chem440,+
Chem706,+
Chem831,+
Chem211,+
Chem681,+
Chem625,+
Chem969,+
Chem390,+
Chem707,+
Chem546,+
Chem204,+
Chem919,+
Chem205,+
Chem868,+
Chem373,+
Chem627,+
Chem90,+
Chem673,+
Chem454,+
Chem586,+
Chem485,+
Chem318,+
Chem307,+
Chem173,-
Chem202,-
Chem563,-
Chem517,-
Chem386,-
Chem29,-
Chem529,-
Chem306,-
Chem381,-
Chem100,-
Chem414,-
Chem289,-
Chem81,-
Chem843,-
Chem727,-
Chem836,-
Chem498,-
Chem594,-
Chem571,-
Chem922,-
Chem203,-
Chem274,-
Chem101,-
Chem53,-
Chem776,-
Chem578,-
Chem423,-
Chem764,-
Chem807,-
Chem683,-
Chem885,-
Chem276,-
Chem620,-
Chem851,-
Chem461,-
Chem932,-
Chem183,-
Chem989,-
Chem149,-
Chem7,-
Chem527,-
Chem815,-
Chem146,-
Chem480,-
Chem427,-
Chem992,-
Chem225,-
Chem780,-
Chem291,-
Chem26,-
Chem956,-
Chem988,-
Chem403,-
Chem188,-
Chem447,-
Chem295,-
Chem330,-
Chem878,-
Chem353,-
Chem791,-
Chem839,-
Chem302,-
Chem730,-
Chem147,-
Chem130,-
Chem734,-
Chem436,-
Chem508,-
Chem343,-
Chem990,-
Chem214,-
Chem255,-
Chem961,-
Chem792,-
Chem841,-
Chem184,-
Chem867,-
Chem333,-
Chem960,-
Chem109,-
Chem601,-
Chem258,-
Chem547,-
Chem699,-
Chem940,-
Chem877,-
Chem112,-
Chem781,-
Chem118,-
Chem140,-
Chem808,-
Chem854,-
Chem948,-
Chem360,-
Chem796,-
Chem889,-
Chem14,-
Chem872,-
Chem17,-
Chem388,-
Chem891,-
Chem892,-
Chem325,-
Chem511,-
Chem755,-
Chem456,-
Chem104,-
Chem266,-
Chem426,-
Chem242,-
Chem418,-
Chem458,-
Chem117,-
Chem589,-
Chem816,-
Chem1003,-
Chem288,-
Chem111,-
Chem323,-
Chem599,-
Chem858,-
Chem662,-
Chem107,-
Chem144,-
Chem911,-
Chem682,-
Chem655,-
Chem12,-
Chem368,-
Chem55,-
Chem135,-
Chem50,-
Chem1000,-
Chem28,-
Chem530,-
Chem430,-
Chem916,-
Chem127,-
Chem522,-
Chem756,-
Chem744,-
Chem901,-
Chem952,-
Chem925,-
Chem304,-
Chem971,-
Chem463,-
Chem395,-
Chem452,-
Chem106,-
Chem558,-
Chem937,-
Chem311,-
Chem200,-
Chem738,-
Chem351,-
Chem883,-
Chem903,-
Chem920,-
Chem172,-
Chem644,-
Chem642,-
Chem178,-
Chem579,-
Chem933,-
Chem531,-
Chem36,-
Chem495,-
Chem366,-
Chem297,-
Chem283,-
Chem472,-
Chem970,-
Chem162,-
Chem441,-
Chem736,-
Chem132,-
Chem497,-
Chem272,-
Chem190,-
Chem9,-
Chem848,-
Chem407,-
Chem31,-
Chem279,-
Chem941,-
Chem71,-
Chem444,-
Chem195,-
Chem610,-
Chem335,-
Chem476,-
Chem217,-
Chem860,-
Chem227,-
Chem991,-
Chem765,-
Chem886,-
Chem591,-
Chem264,-
Chem346,-
Chem244,-
Chem729,-
Chem789,-
Chem753,-
Chem428,-
Chem74,-
Chem98,-
Chem119,-
Chem367,-
Chem888,-
Chem866,-
Chem76,-
Chem64,-
Chem735,-
Chem909,-
Chem399,-
Chem61,-
Chem570,-
Chem292,-
Chem895,-
Chem833,-
Chem742,-
Chem750,-
Chem397,-
Chem805,-
Chem396,-
Chem379,-
Chem433,-
Chem134,-
Chem57,-
Chem398,-
Chem410,-
Chem313,-
Chem862,-
Chem818,-
Chem513,-
Chem757,-
Chem154,-
Chem626,-
Chem27,-
Chem538,-
Chem850,-
Chem993,-
Chem421,-
Chem159,-
Chem286,-
Chem30,-
Chem731,-
Chem206,-
Chem865,-
Chem268,-
Chem494,-
Chem758,-
Chem621,-
Chem998,-
Chem459,-
Chem829,-
Chem806,-
Chem47,-
Chem648,-
Chem419,-
Chem745,-
Chem243,-
Chem535,-
Chem148,-
Chem349,-
Chem793,-
Chem966,-
Chem516,-
Chem897,-
Chem347,-
Chem590,-
Chem487,-
Chem25,-
Chem163,-
Chem502,-
Chem78,-
Chem973,-
Chem116,-
Chem91,-
Chem507,-
Chem105,-
Chem387,-
Chem950,-
Chem822,-
Chem923,-
Chem237,-
Chem408,-
Chem124,-
Chem794,-
Chem253,-
Chem352,-
Chem56,-
Chem94,-
Chem921,-
Chem2,-
Chem880,-
Chem185,-
Chem737,-
Chem581,-
Chem986,-
Chem340,-
Chem772,-
Chem179,-
Chem180,-
Chem907,-
Chem322,-
Chem136,-
Chem585,-
Chem103,-
Chem725,-
Chem777,-
Chem811,-
Chem524,-
Chem420,-
Chem281,-
Chem275,-
Chem695,-
Chem20,+
Chem45,+
Chem49,+
Chem59,+
Chem69,+
Chem80,+
Chem89,+
Chem99,+
Chem120,+
Chem152,+
Chem181,+
Chem189,+
Chem191,+
Chem213,+
Chem223,+
Chem240,+
Chem245,+
Chem248,+
Chem252,+
Chem265,+
Chem269,+
Chem316,+
Chem321,+
Chem344,+
Chem364,+
Chem382,+
Chem392,+
Chem409,+
Chem422,+
Chem424,+
Chem429,+
Chem443,+
Chem462,+
Chem521,+
Chem523,+
Chem526,+
Chem540,+
Chem555,+
Chem564,+
Chem573,+
